participant_id	study_id	treatment	sex	mouse_strain	RRB
sub-01	1588_1f_3wks	SH	F	C58	24814
sub-02	1588_2f_3wks	SH	F	C58	46790
sub-03	1591_0f	EE	F	C58	1182
sub-04	1591_1f	EE	F	C58	1939
sub-05	1591_2f	EE	F	C58	1225
sub-06	1591_12f	EE	F	C58	667
sub-07	1592_1uf	EE	F	C58	638
sub-08	1593_0m	EE	M	C58	987
sub-09	1593_1m	EE	M	C58	1603
sub-10	1593_2m	EE	M	C58	805
sub-11	1593_12m	EE	M	C58	1311
sub-12	1593_0f	SH	F	C58	13878
sub-13	1593_2f	SH	F	C58	6943
sub-14	1596_12m	SH	M	C58	13864
sub-15	1596_1um	SH	M	C58	6630
sub-16	1596_2um	SH	M	C58	8744
